user_id,n_visits,n_hubs,noise_ratio,hub1_share,hub2_share,hub1_size,hub2_size,hub_dist_km,travel_range_km,type
-l1bn8D8iZ0n9Q0PgIDGBA,15,2,0.26666666666666666,0.6363636363636364,0.36363636363636365,7,4,3949.1185744986215,1.3344318179951902,explorer
-mU1Bd61e_LQ38IKgd3i5Q,10,1,0.2,1.0,0.0,8,0,,2.657670846659977,one_area
-pUJtDKDeYYBa7ZoyJFBMw,33,1,0.09090909090909091,1.0,0.0,30,0,,3.0563368514122615,one_area
-psFb4sFsOm0oRLY2Kye0A,28,2,0.10714285714285714,0.56,0.44,14,11,25.720816159723324,3.2101390836537957,two_area
-vZrPZX54a1m-hqAKMTTWg,5,1,0.4,1.0,0.0,3,0,,1.1529553694351655,one_area
-yQw7ugqK6j81yQSpI0BJQ,5,1,0.2,1.0,0.0,4,0,,0.13692381100698392,one_area
0-VeqEryJUgtML9lSqvKMQ,6,1,0.3333333333333333,1.0,0.0,4,0,,1.779610360082498,one_area
01uDjmkqP32bTkCHuWIKBA,7,1,0.42857142857142855,1.0,0.0,4,0,,2.5187560501026836,one_area
02hZ8ZzZ1wJHFE1_fPuOwA,8,1,0.625,1.0,0.0,3,0,,4.446019001318114,one_area
07ZgihuH-9Ih5dyI9hxRvw,6,1,0.16666666666666666,1.0,0.0,5,0,,0.5797061560144839,one_area
0JpB9eEFeKER7UfY8dhxQA,5,0,1.0,0.0,0.0,0,0,,,explorer
0NRrwhCDOv3jK2ZcKBnpQg,6,1,0.0,1.0,0.0,6,0,,0.7264070793698603,one_area
0P3MgBcGzj-LtQA3lQXghw,5,1,0.2,1.0,0.0,4,0,,1.7303090936617818,one_area
0QzRChUjM48JQarMb9t7ig,9,1,0.6666666666666666,1.0,0.0,3,0,,0.14842118378966876,one_area
0SW6-0e8NXaLPyMiUMWlgw,15,1,0.26666666666666666,1.0,0.0,11,0,,3.6821573148315236,one_area
0Tcj5uCoc6y1xRIw2sIUnQ,5,1,0.0,1.0,0.0,5,0,,1.8704328413089124,one_area
0W86OPpGSTzjo6nUuUNWQQ,12,1,0.3333333333333333,1.0,0.0,8,0,,2.710973443556406,one_area
0eAE3nci8RZRAjgg5mIEUQ,6,1,0.5,1.0,0.0,3,0,,1.2355974867332689,one_area
0fW-YQvz2iC113CRl9xOrQ,12,1,0.08333333333333333,1.0,0.0,11,0,,3.892332890975272,one_area
0juMoWXC7z4c7LgQP2s3sA,58,4,0.13793103448275862,0.72,0.12,36,6,48.537485062441306,4.489274797714047,explorer
0lMv7mbe73ZqF3OvjrZkyQ,7,1,0.2857142857142857,1.0,0.0,5,0,,2.4930448868841073,one_area
0oBj63QKATcyxa6PLAVgoA,6,1,0.16666666666666666,1.0,0.0,5,0,,0.4444038889089754,one_area
0oCP58mpEC2myGlDaRqqIw,5,1,0.4,1.0,0.0,3,0,,0.41504506389105467,one_area
0rHReikDIqL2jZsQJTR5LA,5,0,1.0,0.0,0.0,0,0,,,explorer
1-oaItKi4vz-z2dF7S2oNw,9,1,0.3333333333333333,1.0,0.0,6,0,,2.431213212004879,one_area
10FMZoatpQvFO4_jXgVcdQ,15,1,0.13333333333333333,1.0,0.0,13,0,,1.5275268528674373,one_area
10Gvgz8QBwZmZigxPv6szw,9,1,0.2222222222222222,1.0,0.0,7,0,,1.2605549096286834,one_area
12icG6GeSG6qWnHspF0tHQ,57,2,0.03508771929824561,0.9272727272727272,0.07272727272727272,51,4,18.353229672673397,5.277267996025052,explorer
13PmeqpB9nUZNBYngvMj2g,7,1,0.14285714285714285,1.0,0.0,6,0,,4.4308258693700875,one_area
15G6wy_y65sIwQkB1vwvXA,6,0,1.0,0.0,0.0,0,0,,,explorer
167omeb1w3nnsgG_XsNJYA,7,1,0.14285714285714285,1.0,0.0,6,0,,0.21205537620178924,one_area
16c91F4TZSA_WjO4XmsBMg,36,1,0.1111111111111111,1.0,0.0,32,0,,0.6529751424856896,one_area
1OsvnngVv7faatPCykZcjA,7,1,0.2857142857142857,1.0,0.0,5,0,,2.001114305580126,one_area
1PDpJNO1t-BsPZWM6zperQ,5,1,0.4,1.0,0.0,3,0,,1.2191274128256118,one_area
1PEpIGgb2dJO120MEfPbIg,18,2,0.1111111111111111,0.75,0.25,12,4,14.337939618977549,0.6411780378555296,explorer
1Xx0GXRCFEPMc8GWVR-WRA,6,1,0.5,1.0,0.0,3,0,,1.9897370799603105,one_area
1ZLJs1J-eYuSL9V9cjClNA,6,1,0.16666666666666666,1.0,0.0,5,0,,0.2593794400481402,one_area
1_ereNz73hcAbYill07O4g,5,1,0.0,1.0,0.0,5,0,,1.9467823691155972,one_area
1deDzlWUCW8JUhODGBbB5w,18,1,0.1111111111111111,1.0,0.0,16,0,,2.9882384943684634,one_area
1ip4bTJgXwbNBSVsyS3E8A,5,1,0.4,1.0,0.0,3,0,,1.7880320616501217,one_area
1kCh5bef88kJuEROh_x0qg,7,1,0.0,1.0,0.0,7,0,,1.6174640483116638,one_area
1oyOCpBY-oFIfc_HQFSMvQ,5,0,1.0,0.0,0.0,0,0,,,explorer
1pCMgUubbT55bEi2_xw0gQ,6,1,0.16666666666666666,1.0,0.0,5,0,,0.5313253762158789,one_area
1r-qp5xs_YDnWd9uASN2Zw,5,0,1.0,0.0,0.0,0,0,,,explorer
1s00HiDgj8kTyF4BWUAhRg,10,2,0.1,0.5555555555555556,0.4444444444444444,5,4,9.458992546939054,2.3904563078619407,explorer
1toLeDRKxW72eybEI_Lz2Q,13,1,0.46153846153846156,1.0,0.0,7,0,,1.1038836435084813,one_area
2-iZ3lifB5gGWcpP6EgCCw,7,1,0.42857142857142855,1.0,0.0,4,0,,2.663741880274968,one_area
2DbgNul5tT2QSIZnS0V_RQ,5,0,1.0,0.0,0.0,0,0,,,explorer
2E2NzYDjIk7dL3TcOl1NxA,6,1,0.3333333333333333,1.0,0.0,4,0,,1.8765345369791961,one_area
2FY3ETpGCbFPOOHmCGSXig,14,1,0.5714285714285714,1.0,0.0,6,0,,2.9489961358262886,one_area
2Hdot8bpjmvtBLLZWXOPMQ,11,2,0.0,0.5454545454545454,0.45454545454545453,6,5,30.097566050753137,0.711425166794654,two_area
2Ij6ZjcsarLIOWNfgmVKcw,12,1,0.0,1.0,0.0,12,0,,1.6667752172094936,one_area
2JfNOO7Cv5eTVOTeIYKkaQ,9,1,0.0,1.0,0.0,9,0,,3.5956142111421827,one_area
2LINyz4Yl7aFlkInyL0KvA,8,1,0.125,1.0,0.0,7,0,,1.4721320058489737,one_area
2MZ7wSCTQtxEAYCvVueTag,12,1,0.25,1.0,0.0,9,0,,2.885231379047432,one_area
2YhDjr0PcilkN_dcp16R6Q,5,1,0.0,1.0,0.0,5,0,,2.1303089384039895,one_area
2a-J1TbyFZKcAJ1Ap5MUrw,6,1,0.0,1.0,0.0,6,0,,1.4632123380076856,one_area
2a9uyq3zsX5RIxG_jtpM4Q,149,3,0.053691275167785234,0.8794326241134752,0.07092198581560284,124,10,13.505734914268718,1.2420323350638682,explorer
2aqjbuRVv5iyvJP8dUCWTw,5,0,1.0,0.0,0.0,0,0,,,explorer
2db7UH7qOD35M__0wZKt4w,13,2,0.07692307692307693,0.6666666666666666,0.3333333333333333,8,4,1750.7079488701538,0.4957299349828636,explorer
2i89rpEFc6_dqhdWmXtMaQ,15,2,0.26666666666666666,0.5454545454545454,0.45454545454545453,6,5,21.84858971545477,4.430034473294674,two_area
2lEyb6TyMTaB8IFV62sCAA,6,1,0.3333333333333333,1.0,0.0,4,0,,0.8947304555681532,one_area
2nnCLoNSBITdQjXaBdLIdA,10,1,0.6,1.0,0.0,4,0,,3.4591778947161425,one_area
2pIVRpHric00N2HCHmKV9w,5,1,0.0,1.0,0.0,5,0,,0.15066586137743584,one_area
2tIN9jTDxEoF-gSRSnUkPw,7,1,0.0,1.0,0.0,7,0,,1.067308929999161,one_area
2wvdpjLgbY4RvOoDrJ1tEA,7,1,0.14285714285714285,1.0,0.0,6,0,,1.9409554312635384,one_area
30F5TB8825KDsfVrnQTKsw,10,2,0.4,0.5,0.5,3,3,42.972066471054184,0.0,explorer
328rVFXP8uJQjh8vy7HZ4Q,13,1,0.46153846153846156,1.0,0.0,7,0,,1.1517983329916057,one_area
32EIO-AvcxA5WBTVZWdW1A,12,2,0.25,0.5555555555555556,0.4444444444444444,5,4,11.631202038370944,1.1638475244330162,explorer
3CSPAKNl9RqZm0I-ZN7IvQ,24,2,0.4166666666666667,0.6428571428571429,0.35714285714285715,9,5,18.874787983147396,3.1819887788179555,two_area
3Cj25SsNE1ZuaWX75Xr4rA,11,1,0.5454545454545454,1.0,0.0,5,0,,0.20991970380101382,one_area
3DWDH5MJbfS1g_MXmNbf4w,10,1,0.5,1.0,0.0,5,0,,2.0137345075509607,one_area
3JcNV0lGNwk4eQzVT1rF8Q,8,1,0.125,1.0,0.0,7,0,,0.6001930779012826,one_area
3MjgnP15DVSFer9SFI3Bkw,6,1,0.0,1.0,0.0,6,0,,2.576177216591505,one_area
3RqYAJfEJDxIpX3xjnCmLw,87,3,0.011494252873563218,0.9069767441860465,0.046511627906976744,78,4,1493.3115118114977,0.6341033001094845,explorer
3Z04sdgq22PYtrNswSfz6g,16,2,0.3125,0.6363636363636364,0.36363636363636365,7,4,31.17715199182417,1.1822599797889501,explorer
3aDmSX1qvq49rqcJQlywnw,25,1,0.12,1.0,0.0,22,0,,3.0649467417950245,one_area
3bIbqh4KqGx4fRaccLjThA,22,1,0.0,1.0,0.0,22,0,,6.382094058004026,one_area
3dOD4idb5GqLLsDsReaFeQ,5,0,1.0,0.0,0.0,0,0,,,explorer
3edsm9Faeg3JoPVC7AJ0HA,27,1,0.18518518518518517,1.0,0.0,22,0,,1.0402315042635775,one_area
3fEC7SxwGoUH4yWny_x4og,9,1,0.2222222222222222,1.0,0.0,7,0,,1.5256092993719048,one_area
3jLOQJHkRk-qQARirCByYQ,22,2,0.5454545454545454,0.5,0.5,5,5,43.02289292614499,0.6325990482723312,two_area
3lx4zwjar1Tsdvd4HCo4jg,10,1,0.1,1.0,0.0,9,0,,3.5321112701499797,one_area
3uNaBdaSDghV4mWN1WWWCw,29,1,0.06896551724137931,1.0,0.0,27,0,,5.591402959625081,one_area
3yTBmOgMBYNmFXe1PNSssw,11,2,0.18181818181818182,0.5555555555555556,0.4444444444444444,5,4,6.022622604894505,1.1864162410824974,explorer
41MkK8zdg__ryOQnzzuSlw,5,1,0.4,1.0,0.0,3,0,,0.5354540372382022,one_area
47TuxUy9UQkVivfoqqLAKQ,5,0,1.0,0.0,0.0,0,0,,,explorer
48E8klZrUJZw0BlNzXolNQ,5,0,1.0,0.0,0.0,0,0,,,explorer
4LEgzB8iCt-ELL8RkOyxVg,15,3,0.26666666666666666,0.36363636363636365,0.36363636363636365,4,4,41.36233680075129,0.8897237292372648,explorer
4MUAGuqUKJtHPn1rOoXdtg,10,1,0.2,1.0,0.0,8,0,,2.664717155269069,one_area
4OcTMOPBwY-IET2Qi6e9GA,11,1,0.0,1.0,0.0,11,0,,3.657419748626497,one_area
4QnCNzp1jpMPaS0AnjYBLg,11,1,0.09090909090909091,1.0,0.0,10,0,,4.573975999384876,one_area
4TWxEoflOQB-0BIxD_PsYw,5,1,0.2,1.0,0.0,4,0,,0.9392831298177704,one_area
4UwB9p2W1JV2wrkXPWXwwQ,7,1,0.0,1.0,0.0,7,0,,1.0006455176913267,one_area
4XAigL1jG_J1ZwC9Hu6ZQg,23,2,0.08695652173913043,0.8571428571428571,0.14285714285714285,18,3,8.072438168937815,2.6787085753395616,explorer
4YHpWfw2_0mFuEset7pLfA,17,2,0.4117647058823529,0.7,0.3,7,3,439.1053646282886,1.5634756135381993,explorer
4kLNVonQ7k4bAwtL4leRbw,8,1,0.0,1.0,0.0,8,0,,0.43100756520775396,one_area
4ncqeCTfDWRd-8SUVcDvSg,7,1,0.42857142857142855,1.0,0.0,4,0,,2.9517015055211635,one_area
4tvekNNUXGGbStdhwJOM_A,12,2,0.0,0.75,0.25,9,3,6.7302000833649975,3.1954886961077293,explorer
4urNhVtE0u0Eq9djxQqOMA,5,1,0.4,1.0,0.0,3,0,,0.3055077139857187,one_area
4v9Wc4MX0A6HHGfkghbhZg,47,1,0.0425531914893617,1.0,0.0,45,0,,10.911429553311608,one_area
4x2YP5HRi4z1mSI29YC_Ug,7,1,0.2857142857142857,1.0,0.0,5,0,,0.7564870919320098,one_area
4yhFQ41Ju_QrEEyR-bnAZA,5,1,0.0,1.0,0.0,5,0,,1.4410950337155135,one_area
505f6LjP1Y_ofO29BuIn0A,5,1,0.4,1.0,0.0,3,0,,1.0064784310920543,one_area
50rxO0T8Z_5azw-V3dJLpg,9,1,0.2222222222222222,1.0,0.0,7,0,,1.5696570057515253,one_area
51J0DDJS22fKeYWrxA56qA,5,0,1.0,0.0,0.0,0,0,,,explorer
51Mzh0f6vH0-ZiXj9jFVhw,10,2,0.2,0.625,0.375,5,3,26.679703714213034,2.131610930805754,explorer
53-0CIUo-pd5ysfvHXb2yQ,5,1,0.0,1.0,0.0,5,0,,0.33720802855173226,one_area
56QSLA3M13Xk1YQ0pXa5tg,64,1,0.0,1.0,0.0,64,0,,1.6839804143500987,one_area
57isKa2QYAhBmSw0phrRDg,6,1,0.5,1.0,0.0,3,0,,0.8862017282689557,one_area
5CHSYIv5X8ybaA0LndWaEQ,5,1,0.0,1.0,0.0,5,0,,2.109962582801739,one_area
5DL6Gx3zdZb8YXtlpFhmkw,11,1,0.2727272727272727,1.0,0.0,8,0,,1.4946387679016504,one_area
5FYEtbk8dSSp63LA7fu1Lw,6,1,0.5,1.0,0.0,3,0,,2.9464829460270248,one_area
5Fjs7GKqFu1Feg6-RufCuA,47,2,0.02127659574468085,0.9347826086956522,0.06521739130434782,43,3,12.559870625856242,0.9557748287836316,explorer
5Fwg3IQNXb_VRwC6revvpg,12,2,0.16666666666666666,0.5,0.5,5,5,8.26536168444032,3.114551577438131,two_area
5G6P9ctMoLtkOe9jRTSONw,6,1,0.16666666666666666,1.0,0.0,5,0,,0.24089152501552555,one_area
5K0fBWj5bek3vGU3Svf61Q,7,1,0.2857142857142857,1.0,0.0,5,0,,0.20717343334960125,one_area
5ORHA1uWD3GxWq5DlEZU7g,6,1,0.16666666666666666,1.0,0.0,5,0,,2.4882920270077276,one_area
5P62O12MbDoeyIID4Kyrng,8,2,0.125,0.5714285714285714,0.42857142857142855,4,3,753.8160920827402,0.49345517537113576,explorer
5Sa5eBLh--gQ740BUPETtA,8,1,0.375,1.0,0.0,5,0,,0.3990222412382601,one_area
5VRu5uB7ORo0mUYKpGYz2w,6,1,0.16666666666666666,1.0,0.0,5,0,,3.1542278791316187,one_area
5_Lyyx0QxzBWes-rWX2qWw,25,3,0.0,0.72,0.16,18,4,10.415254450160978,3.802623806323541,explorer
5fyBgjLIT-Tt6rXIb9QllQ,11,1,0.7272727272727273,1.0,0.0,3,0,,1.6589666937210863,one_area
5hMjGLu-QXyHVmRx4SIi0Q,6,0,1.0,0.0,0.0,0,0,,,explorer
5pz-aXTubStlIgjp28Rdaw,8,1,0.375,1.0,0.0,5,0,,1.0489703623575761,one_area
5uhZbK8Fu_VD71zzwtVQ_Q,11,1,0.0,1.0,0.0,11,0,,0.427271419034477,one_area
5uthbpu4AkVeFfNBIPBjZA,5,1,0.2,1.0,0.0,4,0,,0.6447554035000946,one_area
5yZr0ZOYqPykAXWTNHS4Sw,110,3,0.01818181818181818,0.5925925925925926,0.37962962962962965,64,41,12.833436475186172,7.171866284604726,explorer
65ImPKzTM8FDDLEScDjVFw,5,1,0.0,1.0,0.0,5,0,,1.0265502211412794,one_area
68963__E9ipbuaEKjEkfRQ,6,1,0.16666666666666666,1.0,0.0,5,0,,3.2232549261859647,one_area
6C8Ne6yRu6TzBLbhfhdduw,138,1,0.021739130434782608,1.0,0.0,135,0,,1.479790152553356,one_area
6DZZO3lH_u6riY9PxAmF7g,8,1,0.5,1.0,0.0,4,0,,1.1830781471094673,one_area
6HCyMWzgRYexwGCNWbLlFg,7,0,1.0,0.0,0.0,0,0,,,explorer
6I5oZmEkXEzJiVGyrqecTw,8,1,0.625,1.0,0.0,3,0,,2.0938123642718716,one_area
6Nbc29KSLuses46gGiQmNw,6,1,0.0,1.0,0.0,6,0,,0.9220411732730744,one_area
6OfZD5jh5VdKu0iesOiggA,42,4,0.14285714285714285,0.4444444444444444,0.2777777777777778,16,10,15.631659333047638,3.9264117973176287,explorer
6Tbarl0uObmmhRpTagSHeA,6,1,0.0,1.0,0.0,6,0,,1.753477473660627,one_area
6ULWXgDTwp-d91927AcnbQ,7,1,0.0,1.0,0.0,7,0,,0.8668216822926846,one_area
6VEL7i246NsaHu4T_1WTvA,13,2,0.23076923076923078,0.7,0.3,7,3,10.737685128567492,0.6824473252734138,explorer
6WxhaJVulNUUsNZJ7waaGw,48,2,0.14583333333333334,0.9024390243902439,0.0975609756097561,37,4,4.447141359922945,6.1116222819116155,explorer
6eCRJd8XL94hVBZyOS5Cgg,8,1,0.625,1.0,0.0,3,0,,1.8807801439432443,one_area
6fLYq0zPb46LTl4i5R6QdQ,7,1,0.0,1.0,0.0,7,0,,1.385545753449057,one_area
6icu2w2Llljakm5CrOYoVg,25,2,0.32,0.8235294117647058,0.17647058823529413,14,3,15.645070644215101,0.9353884008029908,explorer
6mFXqES400I4b4tpEuCSwg,40,1,0.075,1.0,0.0,37,0,,4.746537127027613,one_area
6pIs1ACiUCAMN5QlV-hhjQ,11,1,0.7272727272727273,1.0,0.0,3,0,,1.8409241461431587,one_area
6q-QDrPQSjbE3qpWazjphg,9,1,0.0,1.0,0.0,9,0,,2.760455350593245,one_area
7-yZhJfvsUC7ru2H6h965Q,5,1,0.4,1.0,0.0,3,0,,0.1377793284706616,one_area
73xRtTbE-vw07Nufyp5twg,11,1,0.2727272727272727,1.0,0.0,8,0,,1.049416242974226,one_area
79xmVhmZTwEfkKd2K9cBcA,6,1,0.3333333333333333,1.0,0.0,4,0,,2.3876254513410013,one_area
7D8Nkcb6ujJCGIBkQ93Nhw,8,2,0.125,0.5714285714285714,0.42857142857142855,4,3,964.5983789464894,0.34785020003978384,explorer
7Eq71a1cwHZ-T-k9pusdlw,17,1,0.0,1.0,0.0,17,0,,0.7960212641633823,one_area
7J-yjbrIkrtsEh1J41a6dA,23,1,0.0,1.0,0.0,23,0,,3.7722752952283414,one_area
7MneXFWqHcdcNNFBz52OkQ,6,0,1.0,0.0,0.0,0,0,,,explorer
7PX0tBKF2SEXZL8nfkoz6A,6,2,0.0,0.5,0.5,3,3,21.327262842935482,1.325405330257048,explorer
7PZ3zf7imfiqU-Dyau5JOA,22,2,0.0,0.8181818181818182,0.18181818181818182,18,4,10.616384640348322,3.6886284646373517,explorer
7YXyZp00JU_PjSyLCDpITg,5,1,0.4,1.0,0.0,3,0,,0.8942868548347745,one_area
7_bkOv2-rqxI_IxoxO7fcw,5,1,0.0,1.0,0.0,5,0,,1.3451970300075753,one_area
7a5xVAMhxn9StliGtvyVXw,13,2,0.07692307692307693,0.5833333333333334,0.4166666666666667,7,5,35.653630522392554,1.0347481801075389,two_area
7dG76pMZyJ_450sDpomwQg,26,3,0.3076923076923077,0.5,0.3333333333333333,9,6,18.672158792237095,2.179407894052997,explorer
7ihniF9YdlXsObIYPHZ9Zg,5,1,0.0,1.0,0.0,5,0,,1.4378936676211247,one_area
7lQr595yf07nYmgQ-DChgA,11,1,0.18181818181818182,1.0,0.0,9,0,,0.6031808317179433,one_area
7uOr2_NMoIUJDzTgicmbLw,6,1,0.3333333333333333,1.0,0.0,4,0,,1.0098829183347275,one_area
7yA1eM8IyKFa8zJxQfUFng,83,10,0.39759036144578314,0.18,0.16,9,8,1750.0803045136652,2.3308742097930133,explorer
83kydCNDNi5cQuh3ILLVvg,32,2,0.0625,0.7666666666666667,0.23333333333333334,23,7,11.605378983791882,4.721382092881024,two_area
864qGKT31izMD-uEONbqLQ,5,0,1.0,0.0,0.0,0,0,,,explorer
86UlfAuehJBlAm06GXzBFA,9,1,0.2222222222222222,1.0,0.0,7,0,,0.610376479411197,one_area
86fipBwL3HjJd7c_UhtpNA,8,1,0.125,1.0,0.0,7,0,,2.581573292027612,one_area
87X_fbfge3a00aD-fJwgbA,6,1,0.3333333333333333,1.0,0.0,4,0,,0.6525723809402888,one_area
8GYPLFRdSl317EgD6Ox8Pw,19,1,0.05263157894736842,1.0,0.0,18,0,,3.4906920890969726,one_area
8RRUjWq_JCojHHAHmwXpdw,23,1,0.21739130434782608,1.0,0.0,18,0,,4.019983276736687,one_area
8RgVFXrRnyy6DVBe0SVCTw,7,1,0.14285714285714285,1.0,0.0,6,0,,0.6567363037086251,one_area
8Rsk_QxsheU01ali2ar0rg,14,2,0.42857142857142855,0.625,0.375,5,3,7.296470385149592,2.7119774066831797,explorer
8S8Vn_P5wQgC3LMDI7_uZA,5,1,0.0,1.0,0.0,5,0,,2.3208075333102065,one_area
8TmB1EAteclC5vAlgEguBA,5,0,1.0,0.0,0.0,0,0,,,explorer
8WFVPJHCpaEQe9SeG8B7jg,10,1,0.5,1.0,0.0,5,0,,1.5071921401971418,one_area
8atyZ5ZHLuN7dQoWqFfQeg,11,1,0.18181818181818182,1.0,0.0,9,0,,5.270072715089771,one_area
8i44YNsLcG4QB_vYbOCdvw,40,2,0.0,0.925,0.075,37,3,9.524714529335013,1.621963454324945,explorer
8mjvoi3-CIuGGpFvIElj5g,6,1,0.5,1.0,0.0,3,0,,3.185513726508948,one_area
8oW8AgoDwIO8zObOD9IacQ,6,1,0.16666666666666666,1.0,0.0,5,0,,0.14256422179585657,one_area
8pD-h427Y_aDcPxhDR7z8g,173,1,0.06358381502890173,1.0,0.0,162,0,,1.3921870613802128,one_area
8qE3WisgXGm1nXxIBbM1Sg,10,1,0.3,1.0,0.0,7,0,,1.9497739393101767,one_area
8sN5xAOSfcqvO-If6nF7Hg,20,2,0.55,0.6666666666666666,0.3333333333333333,6,3,16.278916535695636,3.227046096904605,explorer
8xNsJ8Amji8xhaQ-3ABZ-w,21,2,0.14285714285714285,0.5555555555555556,0.4444444444444444,10,8,10.445089355853277,0.8041849263003849,two_area
90LhNTiAW-yZ-02ks5QLIw,11,1,0.0,1.0,0.0,11,0,,1.5865162336775547,one_area
96YkaD7jVs4sXXoSytxogQ,7,1,0.14285714285714285,1.0,0.0,6,0,,0.1222653127590323,one_area
9C2ztWzDKBkN1o1qtT77Tg,7,1,0.42857142857142855,1.0,0.0,4,0,,1.0356270865788195,one_area
9DiJLroN8jf1j5nxgWiBVw,5,1,0.4,1.0,0.0,3,0,,1.3174630415136306,one_area
9FGFghIFROXJC6fpORsJaA,7,1,0.2857142857142857,1.0,0.0,5,0,,0.6402628007141182,one_area
9ME52ggZxDojxENEgQTFoQ,7,1,0.14285714285714285,1.0,0.0,6,0,,0.7395767303889673,one_area
9SyeNq0ln5WvBAiawzItCQ,15,2,0.06666666666666667,0.5714285714285714,0.42857142857142855,8,6,16.736856279013875,0.2058020716708826,two_area
9Tjl8JIBdRljx2qoNVOkkA,23,4,0.21739130434782608,0.3888888888888889,0.2222222222222222,7,4,19.52644197292355,3.8052155805118106,explorer
9UTJNIyd-W9u6X_XzY_EnQ,9,1,0.2222222222222222,1.0,0.0,7,0,,4.0781674280769575,one_area
9eqmrvVdTqIAtVnP4uErag,18,3,0.05555555555555555,0.47058823529411764,0.35294117647058826,8,6,3304.72125906136,1.4048797961388808,explorer
9f5NZKt5ca05plBaJK8dbw,7,1,0.14285714285714285,1.0,0.0,6,0,,1.897869502154132,one_area
9jxdX438tkiuCEwpzojeVg,5,0,1.0,0.0,0.0,0,0,,,explorer
9lmop9S70gBd8-xMeokSsQ,7,1,0.42857142857142855,1.0,0.0,4,0,,0.2967701720336081,one_area
9q8qKP-k3eDS1b19ozh_dg,28,1,0.0,1.0,0.0,28,0,,1.4152652584249825,one_area
9rQ-1w3XcC4iPLZhdFpEoQ,15,1,0.0,1.0,0.0,15,0,,2.445330112373815,one_area
9uQZSsw1fxAW7sfa-uCNQA,7,1,0.2857142857142857,1.0,0.0,5,0,,1.1205031074634233,one_area
9ukBi_EHvEYMKfKJaXsCCQ,5,1,0.2,1.0,0.0,4,0,,0.24981384042671778,one_area
A-Q8B87FqO4Ym6PW4w-a4w,6,1,0.5,1.0,0.0,3,0,,0.282520240088584,one_area
A7CIyRrCic7392kihfO9cw,34,3,0.08823529411764706,0.8064516129032258,0.0967741935483871,25,3,8.790765883087985,4.464725914322495,explorer
A9tUlN3vJBxIIKSUAgIPAg,13,2,0.46153846153846156,0.5714285714285714,0.42857142857142855,4,3,13.221801905758827,0.5858879017995321,explorer
AL56au5XO_CpxIUG9itlRQ,9,0,1.0,0.0,0.0,0,0,,,explorer
APTXbNi0z1rndLT4RrZlPQ,7,1,0.42857142857142855,1.0,0.0,4,0,,2.3925392454672654,one_area
AULMnhV2lvHeX1SyuwYpIg,8,1,0.0,1.0,0.0,8,0,,4.250319105639954,one_area
AVHpzzL5nWK9DNj0iNhMuQ,10,1,0.2,1.0,0.0,8,0,,0.7495907173946293,one_area
AWl03RK1j1vCEtp9hZ1kGw,11,1,0.09090909090909091,1.0,0.0,10,0,,1.364268799852485,one_area
AbANvs8XMAynUaMX-yRwmA,26,1,0.11538461538461539,1.0,0.0,23,0,,2.2200067495049134,one_area
